Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF_O,eFG%_O,TO%_O,Reb%_O,FTR_O,EFF_D,eFG%_D,TO%_D,Reb%_D,FTR_D,G-Sc,+/-,True Advantage,hca,Won/Loss,Score Range,Score,Opp_Score,Spread
1,11/15/25,N,Oklahoma,SEC,Nebraska,N,"L, 105-99",156.6,129.7,71.6,138.2,63.5,14,29,33.3,146.6,70.3,7,27.6,47.5,89.7,3,0.0,5.28,L,105-99,99,105,-6
2,11/26/25,N,Texas,SEC,N.C. State,N,"W, 102-97",152.9,118.6,72,141.7,71.2,9.7,23.1,63.5,134.7,60.2,8.3,24.2,43.8,94.9,4,0.0,5.44,W,102-97,102,97,5
3,11/8/25,N,Vanderbilt,SEC,UCF,A,"W, 105-93",150.2,108.6,74.2,141.5,66.2,8.1,30,25,125.4,61.2,16.2,28.6,48.3,97.7,12,0.0,3.2,W,105-93,105,93,12
9,11/29/25,N,LSU,SEC,DePaul,N,"W, 96-63",147.1,93.3,69.1,138.9,73.5,21.7,42.1,51,91.1,49,18.8,21.6,44.2,99.5,20,0.0,4.14,W,96-63,96,63,33
10,11/24/25,N,Yale,Ivy,Akron,N,"W, 97-94",146.8,122,66.1,146.7,71.7,12.1,38.9,39.6,142.2,72.1,16.6,34.8,14.8,89.3,6,0.0,2.39,W,97-94,97,94,3
13,11/15/25,N,Nebraska,B10,Oklahoma,N,"W, 105-99",146.4,127.9,71.6,146.6,70.3,7,27.6,47.5,138.2,63.5,14,29,33.3,82.6,-3,0.0,5.75,W,105-99,105,99,6
14,11/25/25,N,Michigan,B10,Auburn,N,"W, 102-72",146.2,90.1,71.1,143.5,61.8,12.7,44.4,32.4,101.3,43.5,11.3,30,53.2,99.6,17,0.0,3.93,W,102-72,102,72,30
15,11/25/25,N,Tennessee,SEC,Houston,N,"W, 76-73",145.4,109.1,60.5,125.6,52,14.9,41.9,56.9,120.7,53.3,14.9,44.1,18,96.5,-2,0.0,4.74,W,76-73,76,73,3
16,11/28/25,N,Vanderbilt,SEC,Saint Mary's,N,"W, 96-71",145.3,93.3,72.5,132.5,58.2,9.7,31.4,32.8,98,51,22.1,20.7,38.5,99.4,12,0.0,3.2,W,96-71,96,71,25
17,11/28/25,N,Santa Clara,WCC,Minnesota,N,"W, 86-75",145,102.7,66.5,129.3,68.4,15,19.2,19.3,112.7,50,16.5,38.2,49.1,98.1,17,0.0,2.3,W,86-75,86,75,11
21,11/3/25,N,Michigan,B10,Oakland,H,"W, 121-78",143.9,97,77.7,155.8,77.9,10.3,26.1,18.6,100.5,50.8,14.2,12.8,23.4,98.9,22,3.93,3.93,W,121-78,121,78,43
24,11/7/25,N,Illinois,B10,Florida Gulf Coast,H,"W, 113-70",143.6,92.4,74.9,150.8,63.8,9.3,39.3,52.3,93.4,37.3,1.3,24.5,15.2,99.4,27,2.64,2.64,W,113-70,113,70,43
26,11/15/25,N,Santa Clara,WCC,Nevada,H,"W, 98-83",143.4,108.7,70.5,139.1,72.1,15.6,37,26.2,117.8,50.9,17,36.4,48.3,96,13,2.3,2.3,W,98-83,98,83,15
31,11/26/25,N,Columbia,Ivy,Fairfield,A,"W, 106-77",142.7,111.7,71.1,149.1,71.1,14.1,45.8,25,108.3,46.5,14.1,37,22.5,94.4,16,0.0,1.61,W,106-77,106,77,29
33,11/4/25,N,Iowa,B10,Robert Morris,H,"W, 101-69",142.3,102.2,68.7,147.1,69.1,16,45.5,93.6,100.5,59.4,33.5,44.8,45.8,97.8,18,5.16,5.16,W,101-69,101,69,32
35,11/8/25,N,Boise St.,MWC,Utah Valley,H,"W, 101-77",142,103.7,74.8,135.1,62.7,12,36.7,57.6,103,52.7,21.4,22.2,43.6,97.4,11,3.59,3.59,W,101-77,101,77,24
37,11/25/25,N,San Diego St.,MWC,Oregon,N,"W, 97-80",141.7,105.7,70.4,137.9,76.7,21.3,40,15.5,113.7,50,18.5,35,35.5,96.7,9,0.0,4.18,W,97-80,97,80,17
43,11/3/25,N,N.C. State,ACC,North Carolina Centr,H,"W, 114-66",141.2,109.8,72.8,156.6,72.7,12.4,45.2,46.9,90.7,49,24.7,21.2,58.3,94.7,21,2.75,2.75,W,114-66,114,66,48
45,11/3/25,N,Vanderbilt,SEC,Lipscomb,H,"W, 105-61",140.8,85.6,74.8,140.4,68.4,8,24.2,25,81.6,35.7,24.1,23.7,39.3,99.7,24,3.2,3.2,W,105-61,105,61,44
49,11/26/25,N,N.C. State,ACC,Texas,N,"L, 102-97",140.6,129,72,134.7,60.2,8.3,24.2,43.8,141.7,71.2,9.7,23.1,63.5,72.9,-4,0.0,2.75,L,102-97,97,102,-5
50,11/13/25,N,Kansas St.,B12,California,H,"W, 99-96",140.5,111.3,78.3,126.4,72,21.7,26.1,35.6,122.6,68.5,21.7,32.1,22.6,93.6,14,5.72,5.72,W,99-96,99,96,3
51,11/26/25,N,Michigan,B10,Gonzaga,N,"W, 101-61",140.5,68.5,80.5,125.5,70.8,17.4,16.1,41.7,75.8,35.8,13.7,23.5,20.3,100,19,0.0,3.93,W,101-61,101,61,40
52,11/27/25,N,Colorado St.,MWC,Wichita St.,N,"W, 76-70",140.4,110.4,58.7,129.5,67.3,17,32.1,21.2,119.3,47.7,13.6,54.1,23.4,94.1,10,0.0,5.19,W,76-70,76,70,6
53,11/7/25,N,Kentucky,SEC,Valparaiso,H,"W, 107-59",140.3,85.8,74.9,142.8,62.5,8,33.3,38.2,78.7,34.3,13.3,23.5,29.9,99.7,26,3.43,3.43,W,107-59,107,59,48
55,11/18/25,N,Iowa,B10,Southeast Missouri S,H,"W, 99-70",139.9,105.6,68.2,145.1,71.4,16.1,36,79.6,102.6,58,24.9,34.5,42,96.2,18,5.16,5.16,W,99-70,99,70,29
58,11/25/25,N,Houston,B12,Tennessee,N,"L, 76-73",139.7,110.6,60.5,120.7,53.3,14.9,44.1,18,125.6,52,14.9,41.9,56.9,93.6,2,0.0,5.41,L,76-73,73,76,-3
59,11/8/25,N,Alabama,SEC,St. John's,A,"W, 103-96",139.6,102,84.2,122.3,54.9,8.3,30.4,27.2,114,54,14.2,25.6,63.5,97.4,4,0.0,4.86,W,103-96,103,96,7
62,11/25/25,N,Ohio St.,B10,Mount St. Mary's,H,"W, 113-60",139.6,98.4,73.3,154.2,75.8,10.9,33.3,29.7,81.9,42.4,17.7,19,30.5,98.2,19,4.25,4.25,W,113-60,113,60,53
67,11/26/25,N,Auburn,SEC,St. John's,N,"W, 85-74",139,104.7,66.6,127.7,60.4,18,48,47.2,111.1,44.2,21,45.2,46.7,96.3,0,0.0,3.32,W,85-74,85,74,11
68,11/25/25,N,Alabama,SEC,UNLV,N,"W, 115-76",138.9,100.8,78.6,146.2,66.2,15.3,43.8,53.8,96.6,48.6,12.7,22.7,19.7,97.6,11,0.0,4.86,W,115-76,115,76,39
69,11/7/25,N,North Carolina,ACC,Kansas,H,"W, 87-74",138.8,101.3,70.6,123.2,57.6,15.6,44.4,25.8,104.8,55.2,19.8,23.3,25.9,97.4,2,4.21,4.21,W,87-74,87,74,13
71,11/9/25,N,Georgia,SEC,Morehead St.,H,"W, 120-81",138.5,115.7,79.9,150.1,67.3,11.3,43.2,34.7,101.3,45.9,20,42.6,27,88.7,16,4.29,4.29,W,120-81,120,81,39
73,11/25/25,N,Gonzaga,WCC,Maryland,N,"W, 100-61",138.3,90.5,70,142.8,68.8,17.1,46.4,23.4,87.1,40.9,25.7,35,41.8,99.2,14,0.0,5.17,W,100-61,100,61,39
74,11/3/25,N,Illinois,B10,Jackson St.,H,"W, 113-55",138.3,86.2,75.5,149.6,66.4,15.9,58.3,32.9,72.8,36.3,14.6,9.1,22.6,99.6,28,2.64,2.64,W,113-55,113,55,58
75,11/21/25,N,South Dakota St.,Sum,Georgia St.,H,"W, 105-58",138.2,95.9,71.6,146.6,73.3,14,33.3,36.7,81,39.2,16.8,10.5,52.9,98.5,24,5.5,5.5,W,105-58,105,58,47
77,11/20/25,N,Vanderbilt,SEC,Texas Southern,H,"W, 109-74",138.1,106.4,74.6,146.1,63,12.1,48.6,30.1,99.2,51.9,18.8,21.2,54.7,95.2,21,3.2,3.2,W,109-74,109,74,35
78,11/26/25,N,Louisville,ACC,NJIT,H,"W, 104-47",138,87.7,69,150.8,63,13,52.6,19.2,68.1,37.1,15.9,7.1,12.1,99.5,24,3.64,3.64,W,104-47,104,47,57
79,11/25/25,N,Washington St.,WCC,Arizona St.,N,"L, 100-94",137.9,128.2,71.3,131.9,65.5,15.4,30,52.7,140.3,68.8,14,32,51.8,69.8,2,0.0,3.85,L,100-94,94,100,-6
81,11/24/25,N,Iowa St.,B12,St. John's,N,"W, 83-82",137.7,107.4,68.6,121.1,50.8,16,44.7,40.3,119.6,49.2,14.6,41.7,50,94.6,2,0.0,5.32,W,83-82,83,82,1
82,11/8/25,N,Florida Atlantic,Amer,Charleston,N,"W, 94-77",137.5,111.9,67.4,139.4,56.6,10.4,46.2,32.4,114.2,46.7,13.3,36.1,40,91.4,14,0.0,3.22,W,94-77,94,77,17
83,11/24/25,N,Akron,MAC,Yale,N,"L, 97-94",137.4,132.6,66.1,142.2,72.1,16.6,34.8,14.8,146.7,71.7,12.1,38.9,39.6,60.1,-6,0.0,3.62,L,97-94,94,97,-3
84,11/26/25,N,Baylor,B12,San Diego St.,N,"W, 91-81",137.3,110.9,70.7,128.8,60.5,12.7,30.3,52.6,114.6,56.8,14.2,18.8,28.8,92.1,3,0.0,3.83,W,91-81,91,81,10
85,11/11/25,N,Louisville,ACC,Kentucky,H,"W, 96-88",137.3,103.8,76.7,125.2,54.3,7.8,31,44.9,114.8,55.9,18.3,32.5,23.5,96.2,8,3.64,3.64,W,96-88,96,88,8
87,11/19/25,N,Auburn,SEC,Jackson St.,H,"W, 112-66",137.1,102.3,75.5,148.3,74.6,11.9,32,29.2,87.4,46.4,29.1,33.3,33.9,96.6,20,3.32,3.32,W,112-66,112,66,46
88,11/15/25,N,Virginia,ACC,Marshall,H,"W, 104-78",137.1,102.6,75.8,137.3,61.9,11.9,35.1,57.1,103,49.2,19.8,30.6,40,96.6,20,3.59,3.59,W,104-78,104,78,26
89,11/21/25,N,Denver,Sum,Colorado St.,A,"W, 83-81",137,118.3,60,138.4,59.6,6.7,30,33.3,135.1,59,18.3,48,112.8,84.3,2,0.0,7.03,W,83-81,83,81,2
90,11/28/25,N,Purdue,B10,Eastern Illinois,H,"W, 109-62",137,104.2,71.9,151.6,71.5,13.9,45.8,27.7,86.2,51.9,23.6,13.3,16.7,95.9,16,4.54,4.54,W,109-62,109,62,47
92,11/21/25,N,Arkansas,SEC,Jackson St.,H,"W, 115-61",137,97.3,76.2,151,71.3,7.9,37.5,59,80.1,41.4,26.3,29.3,17.2,98.1,21,6.63,6.63,W,115-61,115,61,54
94,11/26/25,N,Alabama,SEC,Maryland,N,"W, 105-72",136.7,93.8,76.4,137.5,68.2,15.7,39.3,27.3,94.3,42.8,11.8,25.5,14.5,98.7,16,0.0,4.86,W,105-72,105,72,33
95,11/7/25,N,Liberty,CUSA,Charleston,H,"W, 90-75",136.6,122.7,62.6,143.8,66.1,8,32.3,28.8,119.9,58.2,19.2,36.4,30.9,77.5,8,2.75,2.75,W,90-75,90,75,15
96,11/25/25,N,Arizona St.,B12,Washington St.,N,"W, 100-94",136.4,132.2,71.3,140.3,68.8,14,32,51.8,131.9,65.5,15.4,30,52.7,58.9,-2,0.0,4.01,W,100-94,100,94,6
98,11/24/25,N,St. John's,BE,Iowa St.,N,"L, 83-82",136.3,106.8,68.6,119.6,49.2,14.6,41.7,50,121.1,50.8,16,44.7,40.3,94.3,-2,0.0,3.48,L,83-82,82,83,-1
102,11/25/25,N,St. John's,BE,Baylor,N,"W, 96-81",136.1,96.2,71.8,133.8,66.4,13.9,29,36.1,112.9,42.3,15.3,51,21.8,98.2,11,0.0,3.48,W,96-81,96,81,15
106,11/18/25,N,Duke,ACC,Kansas,N,"W, 78-66",135.8,94.7,66,118.2,52.6,12.1,37.1,44.8,100,46.7,12.1,22.2,23.3,98.4,3,0.0,3.7,W,78-66,78,66,12
107,11/8/25,N,UCF,B12,Vanderbilt,H,"L, 105-93",135.8,124.6,74.2,125.4,61.2,16.2,28.6,48.3,141.5,66.2,8.1,30,25,73,-12,3.45,3.45,L,105-93,93,105,-12
109,11/11/25,N,Yale,Ivy,Quinnipiac,A,"W, 97-60",135.7,89.7,71.4,135.8,67.2,18.2,46.2,21.9,84,43.4,23.8,35.3,18,99.1,13,0.0,2.39,W,97-60,97,60,37
111,11/17/25,N,Wisconsin,B10,SIU Edwardsville,H,"W, 94-69",135.5,118.6,66.3,141.8,56.2,6,37.8,36.9,104.1,50.9,16.6,25,19,82.2,10,3.01,3.01,W,94-69,94,69,25
115,11/19/25,N,Arizona,B12,Connecticut,A,"W, 71-67",135.1,92.2,63.2,112.3,48.1,15.8,43.3,46.3,106,51.8,7.9,16.7,32.1,98.8,4,0.0,3.51,W,71-67,71,67,4
116,11/14/25,N,Kentucky,SEC,Eastern Illinois,H,"W, 99-53",135.1,91.3,67.8,146,68,19.2,57.1,25,78.2,38.5,16.2,13.2,36.5,98.9,22,3.43,3.43,W,99-53,99,53,46
117,11/3/25,N,Colorado St.,MWC,Incarnate Word,H,"W, 98-64",135.1,99.9,65.6,149.4,74,15.2,38.1,62.5,97.5,44.1,7.6,16.7,35.6,97,13,5.19,5.19,W,98-64,98,64,34
119,11/25/25,N,Penn St.,B10,Boston University,H,"W, 96-87",135,132,63.6,151,65.4,4.7,33.3,76.9,136.8,72.2,14.2,25,24.1,56.4,12,3.69,3.69,W,96-87,96,87,9
121,11/9/25,N,Colorado St.,MWC,Nebraska Omaha,H,"W, 97-74",134.9,119.8,65.4,148.3,65.1,16.8,51.9,62.3,113.1,53.4,10.7,21.6,25.4,79.7,7,5.19,5.19,W,97-74,97,74,23
122,11/16/25,N,South Florida,Amer,Kennesaw St.,A,"W, 108-89",134.9,110.8,79.7,135.5,56.5,11.3,38.9,74.2,111.7,45.1,17.6,46,54.9,90.6,9,0.0,2.79,W,108-89,108,89,19
123,11/30/25,N,Belmont,MVC,Charleston,A,"W, 96-73",134.8,100.8,70.6,135.9,67.5,8.5,27.6,30.2,103.3,39.2,11.3,32.7,46.2,96.6,16,0.0,3.89,W,96-73,96,73,23
124,11/24/25,N,George Mason,A10,Ohio,N,"W, 92-69",134.8,100.8,67.5,136.3,56.5,8.9,41,29,102.2,48.3,17.8,36.1,34.5,96.6,17,0.0,3.12,W,92-69,92,69,23
129,11/13/25,N,Purdue,B10,Alabama,A,"W, 87-80",134.6,97.3,68.8,126.4,53.8,14.5,47.5,34.8,116.2,54.5,8.7,17.5,15.2,97.7,2,0.0,4.54,W,87-80,87,80,7
