Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF_O,eFG%_O,TO%_O,Reb%_O,FTR_O,EFF_D,eFG%_D,TO%_D,Reb%_D,FTR_D,G-Sc,+/-,True Advantage,hca,Won/Loss,Score Range,Score,Opp_Score,Spread
1,4/7/25,T,Florida,SEC,Houston,N,"W, 65-63",112.9,80,68.8,94.5,45.3,18.9,25,39.6,91.6,39.1,13.1,31.9,20.3,98.1,-4,0.0,3.8,W,65-63,65,63,2
2,4/7/25,T,Houston,B12,Florida,N,"L, 65-63",106,77.2,68.8,91.6,39.1,13.1,31.9,20.3,94.5,45.3,18.9,25,39.6,97.4,4,0.0,5.41,L,65-63,63,65,-2
5,4/5/25,T,Auburn,SEC,Florida,N,"L, 79-73",117.8,89.2,72.1,101.3,50,19.4,25,40.4,109.6,54.7,22.2,36.4,56.6,96.1,2,0.0,3.32,L,79-73,73,79,-6
6,4/5/25,T,Florida,SEC,Auburn,N,"W, 79-73",122.6,86.9,72.1,109.6,54.7,22.2,36.4,56.6,101.3,50,19.4,25,40.4,98.1,-2,0.0,3.8,W,79-73,79,73,6
8,4/5/25,P,Nebraska,B10,Boise St.,N,"W, 79-69",127.6,97.8,65.4,120.8,57.1,16.8,35.5,32.1,105.5,46.8,13.8,28.9,17.5,95.5,5,0.0,5.75,W,79-69,79,69,10
9,4/5/25,T,Duke,ACC,Houston,N,"L, 70-67",139.2,95.4,60.7,110.3,46.2,11.5,29.4,43.4,115.3,45.9,14.8,46.2,29.5,98.7,6,0.0,3.7,L,70-67,67,70,-3
10,4/5/25,T,Houston,B12,Duke,N,"W, 70-67",129.3,93.1,60.7,115.3,45.9,14.8,46.2,29.5,110.3,46.2,11.5,29.4,43.4,97.8,-6,0.0,5.41,W,70-67,70,67,3
16,4/3/25,P,UCF,B12,Cincinnati,N,"W, 88-80",130.4,104.1,74.3,118.4,54.5,10.8,23.7,28.8,107.6,51.4,14.8,31,20,93.1,2,0.0,3.45,W,88-80,88,80,8
20,4/2/25,P,Butler,BE,Boise St.,N,"L, 100-93",137.5,132,70.7,131.5,68.6,14.1,18.5,27.1,141.4,69.8,9.9,25.9,43.1,61.4,-8,0.0,4.09,L,100-93,93,100,-7
26,4/1/25,P,DePaul,BE,Cincinnati,N,"L, 83-61",95.7,104.2,73.8,82.6,47,25.7,15.6,42,112.4,56,16.3,30.6,17.9,27.3,-8,0.0,2.32,L,83-61,61,83,-22
38,3/31/25,P,George Washington,A10,Boise St.,N,"L, 89-59",91.3,99.8,76.1,77.5,50,28.9,11.4,47.9,117,56.2,11.8,27.8,12.5,26.5,-4,0.0,5.04,L,89-59,59,89,-30
43,3/30/25,T,Auburn,SEC,Michigan St.,N,"W, 70-64",124.9,84.8,66.5,105.2,48.4,9,28.2,32.8,96.2,39.8,13.5,31.7,25,98.8,8,0.0,3.32,W,70-64,70,64,6
44,3/30/25,T,Michigan St.,B10,Auburn,N,"L, 70-64",107,90.3,66.5,96.2,39.8,13.5,31.7,25,105.2,48.4,9,28.2,32.8,87.5,-8,0.0,4.37,L,70-64,64,70,-6
45,3/30/25,T,Houston,B12,Tennessee,N,"W, 69-50",138.1,74.4,58.7,117.5,49.2,8.5,37.8,6.1,85.2,33.7,15.3,30,38.5,99.9,13,0.0,5.41,W,69-50,69,50,19
46,3/30/25,T,Tennessee,SEC,Houston,N,"L, 69-50",102.4,101.7,58.7,85.2,33.7,15.3,30,38.5,117.5,49.2,8.5,37.8,6.1,51.8,-13,0.0,4.74,L,69-50,50,69,-19
47,3/29/25,T,Alabama,SEC,Duke,N,"L, 85-65",106.5,93.9,72.5,89.6,41.5,15.2,22.7,21.5,117.2,58.9,17.9,25.9,39.3,81.1,-9,0.0,4.86,L,85-65,65,85,-20
48,3/29/25,T,Duke,ACC,Alabama,N,"W, 85-65",126.8,76.7,72.5,117.2,58.9,17.9,25.9,39.3,89.6,41.5,15.2,22.7,21.5,99.7,9,0.0,3.7,W,85-65,85,65,20
49,3/29/25,T,Florida,SEC,Texas Tech,N,"W, 84-79",126.6,96.3,71,118.3,51.8,16.9,34.4,47.4,111.3,50,9.9,31.1,18.1,95.8,-2,0.0,3.8,W,84-79,84,79,5
50,3/29/25,T,Texas Tech,B12,Florida,N,"L, 84-79",128.9,96.6,71,111.3,50,9.9,31.1,18.1,118.3,51.8,16.9,34.4,47.4,96.5,2,0.0,4.39,L,84-79,79,84,-5
51,3/28/25,T,Auburn,SEC,Michigan,N,"W, 78-65",112.7,83.2,75.5,103.3,45.1,19.9,45.2,25.4,86.1,39.8,19.9,25.6,40.7,97.1,1,0.0,3.32,W,78-65,78,65,13
52,3/28/25,T,Michigan,B10,Auburn,N,"L, 78-65",103.5,82.9,75.5,86.1,39.8,19.9,25.6,40.7,103.3,45.1,19.9,45.2,25.4,92.8,-1,0.0,3.93,L,78-65,65,78,-13
53,3/28/25,T,Houston,B12,Purdue,N,"W, 62-60",116.9,87.9,57.5,107.9,45.1,12.2,42.1,18,104.4,48.1,12.2,24.1,23.1,96.4,2,0.0,5.41,W,62-60,62,60,2
54,3/28/25,T,Purdue,B10,Houston,N,"L, 62-60",126.4,93.1,57.5,104.4,48.1,12.2,24.1,23.1,107.9,45.1,12.2,42.1,18,97.1,-2,0.0,4.54,L,62-60,60,62,-2
55,3/28/25,T,Kentucky,SEC,Tennessee,N,"L, 78-65",119.9,115.3,61.3,106,54.9,19.6,25.9,25.5,127.2,55.3,13,45.2,35.1,60.9,-12,0.0,3.43,L,78-65,65,78,-13
56,3/28/25,T,Tennessee,SEC,Kentucky,N,"W, 78-65",140.7,89.2,61.3,127.2,55.3,13,45.2,35.1,106,54.9,19.6,25.9,25.5,99.5,12,0.0,4.74,W,78-65,78,65,13
57,3/28/25,T,Michigan St.,B10,Mississippi,N,"W, 73-70",122.6,99.8,64.1,113.9,56.2,15.6,19.2,45.8,109.2,47.7,12.5,33.3,15.6,91.4,-3,0.0,4.37,W,73-70,73,70,3
58,3/28/25,T,Mississippi,SEC,Michigan St.,N,"L, 73-70",128.9,101.4,64.1,109.2,47.7,12.5,33.3,15.6,113.9,56.2,15.6,19.2,45.8,94.1,3,0.0,4.43,L,73-70,70,73,-3
59,3/27/25,T,Alabama,SEC,BYU,N,"W, 113-88",147.9,96.5,79.2,142.6,72,16.4,30.3,31.8,111.1,50,13.9,32.5,27.8,99.3,9,0.0,4.86,W,113-88,113,88,25
60,3/27/25,T,BYU,B12,Alabama,N,"L, 113-88",126.7,116,79.2,111.1,50,13.9,32.5,27.8,142.6,72,16.4,30.3,31.8,73.2,-9,0.0,4.53,L,113-88,88,113,-25
61,3/27/25,T,Arizona,B12,Duke,N,"L, 100-93",151.9,117,70.4,132.1,54.5,8.5,34.3,34.8,142.1,70,12.8,31.8,49.1,95.3,-6,0.0,3.51,L,100-93,93,100,-7
62,3/27/25,T,Duke,ACC,Arizona,N,"W, 100-93",156.8,111.9,70.4,142.1,70,12.8,31.8,49.1,132.1,54.5,8.5,34.3,34.8,98,6,0.0,3.7,W,100-93,100,93,7
63,3/27/25,T,Arkansas,SEC,Texas Tech,N,"L, 85-83",125.7,94,66.1,111.7,49.2,13.5,27.5,33.8,114.3,45.8,10.8,44,13.3,96.6,9,0.0,6.63,L,85-83,83,85,-2
64,3/27/25,T,Texas Tech,B12,Arkansas,N,"W, 85-83",124,107.8,66.1,114.3,45.8,10.8,44,13.3,111.7,49.2,13.5,27.5,33.8,83.3,-9,0.0,4.39,W,85-83,85,83,2
65,3/27/25,T,Florida,SEC,Maryland,N,"W, 87-71",138.8,91.9,71.2,122.3,59.2,23.9,53.6,35,99.8,46.3,15.5,20.6,48.1,99.1,6,0.0,3.8,W,87-71,87,71,16
66,3/27/25,T,Maryland,B10,Florida,N,"L, 87-71",115.7,100,71.2,99.8,46.3,15.5,20.6,48.1,122.3,59.2,23.9,53.6,35,84.2,-6,0.0,4.9,L,87-71,71,87,-16
71,3/26/25,P,UAB,Amer,UC Irvine,A,"L, 81-77",106.7,96.6,72.7,94.1,43.2,13.4,22.2,18.9,99,47.1,13.4,19.6,30,75.8,2,0.0,3.41,L,81-77,77,81,-4
87,3/23/25,T,Alabama,SEC,Saint Mary's,N,"W, 80-66",130.9,89,69.7,114.7,58,15.8,27.6,35.7,94.6,36.4,8.6,31.2,30,98.8,8,0.0,4.86,W,80-66,80,66,14
89,3/23/25,T,Arizona,B12,Oregon,N,"W, 87-83",127.4,102.5,74.9,116.1,53,12,33.3,36.4,110.8,52.2,12,26.2,32.4,92.4,0,0.0,3.51,W,87-83,87,83,4
90,3/23/25,T,Oregon,B10,Arizona,N,"L, 87-83",122.6,98.2,74.9,110.8,52.2,12,26.2,32.4,116.1,53,12,33.3,36.4,92.8,0,0.0,3.26,L,87-83,83,87,-4
91,3/23/25,P,Arkansas St.,SB,North Texas,A,"L, 65-63",109.7,104.4,61.2,102.9,43.1,8.2,31.7,13.8,106.2,49.1,13.1,28.6,22.8,63.9,-5,0.0,4.74,L,65-63,63,65,-2
95,3/23/25,T,Baylor,B12,Duke,N,"L, 89-66",133.6,119.3,59.3,111.2,42.6,8.4,40.9,14.7,150,77.8,10.1,17.6,51.1,78.6,-9,0.0,3.83,L,89-66,66,89,-23
