Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-,Unnamed: 24_level_1
1,1,11/7/25,N,Illinois,B10,Florida Gulf Coast,H,"W, 113-70",147.6,95.4,74.9,150.8,63.8,9.3,39.3,52.3,93.4,37.3,1.3,24.5,15.2,99.3,27,
2,2,11/8/25,N,Vanderbilt,SEC,UCF,A,"W, 105-93",146.8,118.4,74.2,141.5,66.2,8.1,30,25,125.4,61.2,16.2,28.6,48.3,92.2,-,
3,3,11/3/25,N,Michigan,B10,Oakland,H,"W, 121-78",146.2,102.8,77.7,155.8,77.9,10.3,26.1,18.6,100.5,50.8,14.2,12.8,23.4,98.3,22,
4,4,11/4/25,N,Iowa,B10,Robert Morris,H,"W, 101-69",141.5,104.9,68.7,147.1,69.1,16,45.5,93.6,100.5,59.4,33.5,44.8,45.8,96.9,18,
5,5,11/3/25,N,N.C. State,ACC,North Carolina Centr,H,"W, 114-66",139.8,104.9,72.8,156.6,72.7,12.4,45.2,46.9,90.7,49,24.7,21.2,58.3,96.4,21,
6,6,11/3/25,N,Illinois,B10,Jackson St.,H,"W, 113-55",139,79.5,75.5,149.6,66.4,15.9,58.3,32.9,72.8,36.3,14.6,9.1,22.6,99.8,28,
7,7,11/7/25,N,Liberty,CUSA,Charleston,H,"W, 90-75",138.7,119.2,62.6,143.8,66.1,8,32.3,28.8,119.9,58.2,19.2,36.4,30.9,85.1,8,
8,8,11/3/25,N,Vanderbilt,SEC,Lipscomb,H,"W, 105-61",136,89.3,74.8,140.4,68.4,8,24.2,25,81.6,35.7,24.1,23.7,39.3,99.2,24,
9,9,11/8/25,N,Alabama,SEC,St. John's,A,"W, 103-96",135.8,99.4,84.2,122.3,54.9,8.3,30.4,27.2,114,54,14.2,25.6,63.5,97.3,4,
10,10,11/8/25,N,Boise St.,MWC,Utah Valley,H,"W, 101-77",135.5,106.2,74.8,135.1,62.7,12,36.7,57.6,103,52.7,21.4,22.2,43.6,94.3,-,
11,11,11/3/25,N,Colorado St.,MWC,Incarnate Word,H,"W, 98-64",134.9,101.8,65.6,149.4,74,15.2,38.1,62.5,97.5,44.1,7.6,16.7,35.6,96.2,13,
12,12,11/7/25,N,Kentucky,SEC,Valparaiso,H,"W, 107-59",134.4,86.8,74.9,142.8,62.5,8,33.3,38.2,78.7,34.3,13.3,23.5,29.9,99.4,26,
13,13,11/7/25,N,Connecticut,BE,UMass Lowell,H,"W, 110-47",134.1,70.4,74.8,147,67.4,13.4,51.7,31.9,62.8,25.5,28.1,20.5,68.1,99.9,36,
14,14,11/3/25,N,Arkansas,SEC,Southern,H,"W, 109-77",133,100.1,81.1,134.4,57.5,11.1,35.9,39.7,95,47.8,14.8,27.9,34.8,96.3,17,
15,15,11/8/25,N,UCF,B12,Vanderbilt,H,"L, 105-93",132.9,123.7,74.2,125.4,61.2,16.2,28.6,48.3,141.5,66.2,8.1,30,25,69.5,-,
16,16,11/8/25,N,UC Santa Barbara,BW,San Jose St.,H,"W, 85-74",132.5,118.8,62.5,136,68.3,17.6,41.7,36.5,118.4,57,22.4,44,42,77.8,9,
17,17,11/7/25,N,North Carolina,ACC,Kansas,H,"W, 87-74",131.9,100.7,70.6,123.2,57.6,15.6,44.4,25.8,104.8,55.2,19.8,23.3,25.9,95.7,2,
18,18,11/6/25,N,Auburn,SEC,Merrimack,H,"W, 95-57",131.9,98.5,67.5,140.8,54.8,11.9,60,59.7,84.5,35.7,16.3,22.7,42.9,96.6,14,
19,19,11/7/25,N,Kent St.,MAC,Cornell,H,"W, 110-102",131.8,124.9,79.1,139.1,67.7,13.9,37.9,50.8,129,67.5,21.5,39.4,34.9,64.9,8,
20,20,11/8/25,N,Texas,SEC,Lafayette,H,"W, 97-60",130.2,98.5,68.9,140.7,59.5,13.1,51.6,46,87.1,44.5,21.8,27,30.9,96.1,15,
21,21,11/5/25,N,LSU,SEC,Tarleton St.,H,"W, 96-60",130.1,99.4,68.2,140.8,78.7,22,43.8,61.7,88,37.9,13.2,27.3,29,95.7,14,
22,22,11/7/25,N,Texas Tech,B12,Sam Houston St.,H,"W, 98-77",129.8,119.2,70.5,139.1,60.3,15.6,50,74.1,109.3,48.5,19.9,45,30.8,72.6,6,
23,23,11/6/25,N,Louisville,ACC,Jackson St.,H,"W, 106-70",129.3,95.9,77.1,137.5,59.7,13,40.5,52.2,90.8,48.4,15.6,17.1,25.4,96.9,18,
24,24,11/4/25,N,Florida St.,ACC,Alcorn St.,H,"W, 108-76",129.1,112.2,75.8,142.4,65,10.5,36.8,35.7,100.2,58.8,27.7,29,52.9,83.4,14,
25,25,11/7/25,N,Youngstown St.,Horz,Grand Canyon,A,"W, 90-81",129.1,107.4,72.3,124.4,58.9,12.4,25.8,53.6,112,50,18,44.4,33.3,89.2,3,
26,26,11/8/25,N,Eastern Washington,BSky,Colorado,A,"L, 102-97",129,122.4,70,123.1,66.9,15.2,21.4,30.6,129.5,59.5,12.7,31.4,61.9,64.7,-,
27,27,11/7/25,N,Cornell,Ivy,Kent St.,A,"L, 110-102",128.8,135.9,79.1,129,67.5,21.5,39.4,34.9,139.1,67.7,13.9,37.9,50.8,34.9,-8,
28,28,11/3/25,N,High Point,BSth,Furman,N,"W, 97-71",128.7,98.9,73.1,132.7,64.5,8.2,25.7,21.7,97.2,50,30.1,44.1,33.3,95.4,13,
29,29,11/5/25,N,Indiana,B10,Alabama A&M,H,"W, 98-51",128.4,79.1,70.3,139.4,70.7,15.6,27.3,27.6,72.5,38.7,15.6,7.7,35.8,99.6,25,
30,30,11/3/25,N,Kansas,B12,Green Bay,H,"W, 94-51",128.4,89.6,64.5,145.8,65.5,4.7,32.1,41.4,79.1,35.7,12.4,16.7,32.1,98.4,18,
31,31,11/8/25,N,Akron,MAC,Princeton,H,"W, 104-69",127.8,96.8,77.2,134.7,61.3,9.1,30.6,29.6,89.3,43.1,19.4,25.5,30.8,96,15,
32,32,11/7/25,N,Clemson,ACC,Gardner Webb,H,"W, 97-59",127.6,99,69.9,138.7,54.5,4.3,46.3,26,84.4,44.7,22.9,17.6,55.3,94.9,18,
33,33,11/7/25,N,Charleston,CAA,Liberty,A,"L, 90-75",127.4,132.5,62.6,119.9,58.2,19.2,36.4,30.9,143.8,66.1,8,32.3,28.8,38.9,-8,
34,34,11/3/25,N,Ohio St.,B10,IU Indy,H,"W, 118-102",127.2,130,85.8,137.5,70.4,19.8,45.8,98.1,118.8,57.9,15.1,28.6,26.3,43.6,12,
